TST_fcfbf1e603e623 | palo santo | palo santo 18-22 gr ağaç tütsü (peru) [tütsü ve buhurdanlık] marka:petarya renk:lacivert
TST_33390c13cd1af7 | ayt edebiyat konu anlatımı | 2025 yargı kpss/ales/dgs/tyt/ayt/msü paragraf soru bankası+paragraf deneme+hediye [sınav hazırlık] marka:yargı yayınları
TST_937f7c5f156d55 | my melodi | kuromi cinnamoroll my melodi melody hello kitty sanrio 1adet süpriz paket yapboz silgi 4cm [silgi] marka:synshop
TST_67b358ed1a07ea | fare ilacı | murin fare pastası kullanıma hazır yem 100gr [haşere ilacı] marka:vebi
TST_8c57f78ce8a903 | elektrikli tırnak makası | yenidoğan bebek/ çocuk pilli tırnak törpüsü manikür seti yeşil [tırnak makası] marka:schulzz
TST_897cb502c84ec9 | acı kahve bot | vesta acı kahve renk fermuarlı kısa bot [bot & bootie] marka:elvinin tarzı kadın renk:çok renkli materyal:suni deri
TST_301261cdda25db | battaniye örme ipi | puffy kalpli battaniye (100x110) ölçü ayarlanabilir [bebek & çocuk battaniyesi] marka:eksper hırdavat renk:beyaz materyal:polyester
TST_736b048efacbcc | gümüş tek bant topuklu ayakkabı | 10 cm yüksek kalın topkulu çapraz şeritli abiye kadın ayakkabı [abiye ayakkabı] marka:şahnur kadın renk:gri materyal:tekstil
TST_22e307921541c5 | kız çocuk pijama | lila kız çocuk kuromi uzun kollu pamuklu pijama takımı [pijama takımı] marka:penti kadın renk:mor materyal:pamuklu
TST_b5b798581e06d3 | lego uçak | ® technic™ daha hızlı daha öfkeli nissan skyline gt-r (r34) araba 42210 - 18+ model seti ( [lego & yapı oyuncakları] marka:lego renk:çok renkli
TST_b68d54e6d267ff | xiaomi 15t pro | pad mini 12 gb ram 512 gb (xiaomi türkiye garantili) [tablet] marka:xiaomi renk:gri
TST_4a1441202ba2b5 | hyundai i20 | hyundai i10 2016 uyumlu havuzlu üniversal yeni nesil plus paspas siyah [oto paspas] marka:rptech
TST_f936e4eab1c594 | iki katlı sunumluk | flora silver dikdörtgen derin sunum tabak 33*13*4 cm [tabak] marka:roy king renk:beyaz materyal:porselen
TST_c600c70fbb81ef | müzik | paw patrol köpek yürüyen, havlayan müzikli tasmalı kumandalı peluş oyuncak [hayvan figür oyuncak] marka:mj toys
TST_89ab38f96e867d | cry babies | anlıly elbise dolaplı bebek 1 adet [eğitici oyuncak] marka:matmel
TST_710900043bee11 | kirpik uzatıcı | kaş kirpik bakım yağı (20 ml) [kaş ve kirpik serumu] marka:livray
TST_e44acac5567880 | oto yıkama | far yikama robotu sol bmw g11 2016 [oto far] marka:trivia
TST_b6e163ce6cc66e | puma bayan spor ayakkabı | 402597 shuffle downtown sd erkek spor ayakkabı siyah-beyaz [sneaker] marka:puma erkek renk:siyah materyal:suni deri
TST_9115f1413a821c | traktör sticker | üç hilal bozkurt sticker araba kamyon,traktör sricker,oto sticker (40 cm 40 cm ) [arma sticker & fosfor şerit] marka:sezu concept renk:beyaz
TST_be2af807d62618 | çinko tablet | vitamin b12 1000 mcg metilkobalamin b kompleks (60 çiğneme tableti) b complex [vitamin] marka:lifecell
TST_8b7daa5ab6bebb | haki süet ceket | mürdüm kaşe gold düğmeli ceket [ceket] marka:özge kadın renk:mor materyal:süet
TST_c4b815146a8d09 | bebek nevresim takımı | diamond bloom kolay ütülenir çift kişilik nevresim takımı 200x220 cm mavi - pembe [çift kişilik nevresim] marka:english home renk:mavi materyal:pamuklu
TST_d5380794a53d7d | attack on titan sweatshirt | uzun kollu sıfır yaka slogan baskılı lacivert sweatshırt [sweatshirt] marka:ltb kadın renk:lacivert materyal:pamuklu
TST_f413649fc51cd2 | urban care saç serum ve yağı | stop saç dökülmesine karşı ampul 10 x7 ml [saç serum ve yağı] marka:cece med unisex
TST_5d8280983fa03a | oda eşyaları | vazoda çiçekler yağlı boya görünümlü dekoratif ahşap ev/işyeri/ofis kare tablo [tablo] marka:teona ahşap renk:ekru materyal:mdf
TST_42565d84728ca5 | talha uğurluel | savaş günlükleri 1939 1943 [tarih] marka:kronik kitap
TST_0c119c839f0908 | 3d panel | gece şehir manzarası mdf tablo 1559 (model d) [tablo] marka:renkselart renk:lacivert materyal:mdf
TST_e04808ab6e9569 | bebek duş jeli | aroma sensations feel the massage duş jeli 500 ml x 3 adet [duş jeli] marka:palmolive unisex
TST_e934d9537a8cf6 | ahşap organizer | semplice meşe dekoratif duvar rafı 54x16 cm [duvar rafı] marka:squall renk:kahverengi materyal:mdf
TST_95cd82b319978a | v60 kahve demleme seti | v60-02 kahve sürahisi set siyah [dripper] marka:grossberg coffee materyal:çam
TST_932f39e10994b4 | ateşten tezahürat | karışık [roman] marka:genç timaş
TST_af203ace68c5e7 | bu da geçecek | motosiklet maske boyunluk – unisex, nefes alabilir, rüzgar geçirmez  bdk030 [motosiklet bandana] marka:bu da kaçar mı unisex
TST_bbdbb311f9655d | kapüşonlu peluş ceket | belden sıkmalı kapitone mont [mont] marka:bz butik kadın renk:gri
TST_a0a87f8f18edc1 | biber salçası | domates salçası 1000 gr [salça] marka:sofyanın arka bahçesi
TST_ec9ccc377144fa | kendime düşünceler | aynalar cehennemi ve diğer öyküler + olağanüstü bir gece [dünya edebiyatı] marka:alfa yayınları
TST_2fba76feb6168e | sukulent | sukulent tasarımlı dekoratif kokulu mum | evora design [mum & kandil] marka:evoradesigne renk:yeşil
TST_cb258b930090ff | öğütücü tuzluk | portofino 2'li standlı pilli tuz karabiber değirmeni otomatik baharat öğütücü siyah [kahve ve baharat öğütücü değirmen] marka:valletta renk:siyah materyal:plastik
TST_3e71ed40d78a6d | koltuk yıkama makinesi | promax 800 cm2 islak-kuru halı ve koltuk yıkama makines [endüstriyel temizleme] marka:fantom
TST_d7609d7ab73fbe | yaz | örümcek adam metalize masa etekli 32 kişilik doğum günü parti malzemeleri süsleri seti [doğum günü süsü] marka:spiderman
TST_85d74c516953e3 | aktarma kablosu | iphone uyumlu lightning telefon kulaklık çevirici aux dönüştürücü aparat [çevirici dönüştürücü] marka:ocado renk:beyaz
TST_47de51fcb1ea0e | atomy şampuan | x keratin ve argan özlü saç şampuanı kolajen ve prebiyotik [şampuan] marka:tto unisex
TST_700efc16c66d92 | kapaklı banyo dolabı | 8 raflı 2 kapaklı 16r çok amaçlı dolap erzak dolabı banyo dolabı kiler dolabı beyaz [çok amaçlı dolap] marka:kzy renk:beyaz materyal:suntalam
TST_2cae9461b77223 | mandelic asit | siyah nokta temizleyici çift taraflı peeling pad a'pıeu goblin blackhead peeling pad [yüz peelingi] marka:missha
TST_5df0ca2b147f7e | kiloş uzun elbise | batik desenli elbise [elbise] marka:mango kids kadın renk:mavi materyal:%100 pamuk
TST_66b332a138af10 | lcw mont | kadın haki yeşili fermuarlı cepli dik yaka kapitone mont [mont] marka:united colors of benetton kadın renk:haki
TST_9478fb7d70fef0 | yataş bedding | essentials 3'lü el / yüz / baş havlu seti navy - 50x90 cm [havlu] marka:yataş renk:lacivert materyal:pamuklu
TST_ad699e598783fe | dgn omuz çantası | suni kürk saplı çapraz askılı çanta [omuz çantası] marka:stradivarius kadın renk:kahverengi materyal:poliüretan
TST_83bace41b6da72 | karınca ilacı | habitro karınca granülü 80 gr yeni üretim!! (karınca mücadelesi için) [haşere ilacı] marka:bayer
TST_4855d122ff7904 | badem10 mobilya kulpları | kristal görünümlü yapışkanlı kulp – dolap çekmece kulpu, dekoratif pratik, delme gerektirm [mobilya kulpu] marka:tarik home renk:beyaz
TST_65033a435c2c66 | tüylü çanta | beyaz mini peluş çanta [omuz çantası] marka:baghashtag unisex renk:beyaz materyal:tekstil
TST_6e537cf0bc7119 | a kesim etek | kız çocuk etek lastikli mint renk fyonk detaylı tasarım ince örme kumaş [etek] marka:galland kadın renk:turkuaz materyal:pamuklu
TST_b0fb467cd8e79b | fakir halı yıkama makinesi | profsyonel 3 motorlu yerinde islak kuru su çekmeli koltuk yıkama makinası full sett [halı yıkama makinesi] marka:proxtech renk:kırmızı
TST_4202e2dbadac0c | dudak | avantajlı inci özlü aydınlık görünüm sunan yaprak maske seti (5ad) airy fit sheet mask pea [yüz maskesi] marka:missha
TST_1ce01f120f1560 | erkek ince mont | by han 7326 ceket-vicenza [ceket] marka:byhan kadın renk:çok renkli materyal:polyester
TST_0309d0b9a5c1d4 | guess sweatshirt | erkek çocuk koyu yeşil relaxed logo sweatshirt [sweatshirt] marka:gap erkek renk:yeşil materyal:pamuklu
TST_5fd6649790b709 | sunumluk tepsi | lianca dekoratif tabak silver 26x16 cm [dekoratif tabak & kase] marka:karaca home renk:gümüş materyal:poliresin
TST_f576a77c5ad830 | erkek çocuk odası avize | pembe kuromi avize [avize] marka:evsehomes renk:çok renkli materyal:plastik
TST_6a7dfe16351469 | salıncak | kafes kuşları için aynalı salıncak oyuncak 1 adet [kuş oyuncağı] marka:tuğra pet market
TST_f82b84505790b5 | portatif raf | ayakkabılık mısri mat beyaz suntalam 155*060*20 otuz çift ayakkabı kapasitesi arkalıksız [ayakkabılık] marka:kenzlife renk:beyaz materyal:suntalam
TST_bd91c068a27fd5 | çocuk magnet | mezuniyet magnet açacak 10 adet [diğer aksesuarlar] marka:parti çocuk unisex renk:beyaz
TST_1285ebb5ca046c | peugeot 3008 aksesuar | peugeot 208 308 408 508 2008 3008 5008 smart nano anahtar kılıfı siyah [oto anahtarlık] marka:barkas elektronik
TST_8f3bbe10ad9c24 | acı kahve mont | yakası tüylü çıkarılabilir kapüşonlu erkek mont 571717 [mont] marka:buratti erkek renk:siyah materyal:polyester
TST_3467f8f6ab695d | bebek odası süs | siyah çerçeveli ağaç kütük desenli kanvas tablo [tablo] marka:harita sepeti renk:siyah materyal:kanvas
TST_aff9352ab92d22 | dalin şampuan | - biotin içeren - aşırı işlem görmüş saçlar için onarım etkili şampuan 500 ml [şampuan] marka:savon de royal unisex
TST_0c038a31d0bd71 | bluetooth modülü | esp32-wroom esp32s wifi ve bluetooth modülü - 38 pin [bilgisayar yedek parça] marka:arduino
TST_6a6238435e6083 | 4. sınıf deneme sınavı | güncel 3.sınıf ben türkçe konu anlatımlı+soru bankası+4lü deneme+kalemlik [sınav hazırlık] marka:bilfen yayıncılık
TST_dd522ff7f67c94 | home yazılı tablo | doğal ahşap çerçeveli boho bahar çiçek vazosu duvar sanatı tablosu [tablo] marka:trendposter renk:turuncu materyal:ahşap
TST_dca022855b8f9f | nike kadın ayakkabı bilekli | jordan max aura 5 erkek basketbol ayakkabısı [basketbol ayakkabısı] marka:nike erkek renk:siyah materyal:tekstil
TST_272d8fe791386f | gül buketi | gül demeti ikili,kırmızı gül yapay ,hediyelik gül [yapay & kuru çiçek] marka:defne hediyelik renk:siyah
TST_c6adc4dd8aef23 | dentasave | diş macunu - micro silver plus 75 ml 8052019645101 [diş macunu] marka:lr unisex
TST_85d482bdeaffb2 | pubg oyun konsolu | turbo shot mobil oyun tetikleri - pubg oyun konsolu [mobil oyun aksesuarı] marka:zoinco renk:siyah
TST_42afe3e7735cea | ferdi özbeğen plak | seçme alaturka şarkılar (plak) [plak] marka:ati müzik
TST_31bd86769b485c | orbus ampul | mycare led lamba 13w - 100w 2700k sarı  işık  1521 lümen yüksek işık  ( 6 adet ) [ampul] marka:philips
TST_88145111e1b4fb | smarter tüy toplayıcı | şarjlı tüy ve tiftik temizleme makinesi extra bıçaklı 708 beyaz [tüy toplayıcı] marka:torima
TST_d77c2da9f737bd | vakumlu kapaklı cam baharatlık | efes kavanoz büyük 500 cc [kavanoz] marka:paşabahçe renk:turuncu materyal:cam
TST_d739ea8b0a4600 | bilgi sarmalı | mesleki yazışmalar / emel bahar / / 9786055437022 [bilgisayar kitapları] marka:detay yayıncılık
TST_775c2dec802e1c | divan örtüsü | windores 170x230cm. çok amaçlı naturel koltuk, kanepe, divan, çekyat dekoratif koltuk örtü [koltuk örtüsü] marka:a.z.h. renk:bej materyal:pamuklu
TST_fae7eeb24522d0 | yemek yakımı | bone luz form 52 parça 12 kişilik yemek takımı [yemek takımı] marka:kütahya porselen renk:ekru materyal:porselen
TST_dd97ff23835b12 | tecer çanta | çok amaçlı pratik katlanabilir portatif market çantası tekerlekli pazar arabası alışveriş  [pazar arabası & çantası] marka:zeytstore renk:siyah
TST_e1903429326a54 | banyo tuvalet terliği | e282 kırmızı kadın tokalı plaj terlik [terlik] marka:akınal bella kadın renk:çok renkli materyal:eva
TST_32448d4c699108 | type c usb bellek | 256 gb metal flash bellek metal tasarım usb bellek the latest tecnology chipset data trave [usb] marka:powerway renk:gri
TST_046fa211edc491 | civciv pijama | lacivert erkek çocuk bear style ayı desenli pijama takımı [pijama takımı] marka:penti kadın renk:lacivert materyal:pamuklu
TST_b42e6801386322 | hakiki deri mont | erkek gömlek yaka siyah hakiki deri ceket [ceket] marka:meka deri erkek renk:siyah materyal:hakiki deri
TST_143bdfb7874ada | mavi erkek şişme yelek | baklava kapitone, su geçirmez normal kesim yelek [yelek] marka:boss erkek renk:lacivert
TST_1d8a650a3f6c1d | kız çocuk iç giyim | u yaka slim fit simli fitilli triko atlet [atlet] marka:koton kadın renk:siyah materyal:tekstil
TST_a50a995f3fe6a2 | katlı kedi evi | e-1 bej üç katlı kedi evi tırmalama ve oyun parkı [kedi tırmalaması] marka:dumanpet renk:krem
TST_103f9f20a4ab57 | tabu kutu oyunu | hikaye küpleri - story cubes sözel zeka oyunu [kutu oyunu] marka:hobi eğitim dünyası
TST_3fad3a6a53d272 | soyulabilir ağda | pratik ağda makinası ve isıtma kazanı seti, konforlu kullanımıyla güzelliğinize katkı sağl [ağda] marka:empressco
TST_5a0840916b0caf | fd sports | x reflect studio metin oktay sweatshirt e251260 [sweatshirt] marka:gsstore erkek renk:bordo materyal:pamuklu
TST_db508a4aba7f6d | kına seti | kırmızı gelin kuşağı, gelin kurdelesi, gelin beli kemeri, kardeş kuşağı, simli ortası moti [düğün & kına & nikah] marka:zeymerade renk:gümüş
TST_0e9a37341e6d94 | gül kremi | perfume jewels summer dream el vücut kremi 50 ml [yüz kremi] marka:eyüp sabri tuncer
TST_5b5afc0ba965de | orcamp gaz | camping 0103 tekli portatif kamp ocak, rüzgarlıklı, ekstra gaz girişli [kamp ocakları] marka:rox renk:gümüş
TST_404d795e4d6aad | fırın eldiveni | evora uzun fırın eldiveni - ekru / siyah - 16x85 cm [mutfak önlüğü & eldiven] marka:matmel renk:çok renkli materyal:belirtilmemiş
TST_73b7d817259cea | beyaz mobilya boyası | selfy decor vernikli mobilya boyası 240 cc beyaz 800 [akrilik boya] marka:rich renk:beyaz
TST_c2c7eba2f980a9 | kadın gold ayakkabı | kadın atina taba cilt toka detaylı topuklu kısa bot [bot & bootie] marka:marinarosse kadın renk:kahverengi materyal:suni deri
TST_4d9d060a4e9e6b | bargello 150 | pretty kadın parfümü edt 30 ml no:5 [parfüm] marka:gabrini kadın renk:beyaz
TST_a7b2225d0830b0 | ayaklı ayna | metal ayaklı dresuar dekoratif raflı dresuar konsol metal dresuar çam [dresuar] marka:bofigo renk:kahverengi materyal:suntalam
TST_a4037cd0b2e18d | bactoblis probiyotik | duobalance oral 10 adet probiyotik pastil [probiyotik ve prebiyotik] marka:nbt ilaç
TST_f0657131cff17a | zigon sehpa çanta | ceviz çanta zigon sehpa [zigon] marka:evim hizmet renk:kahverengi materyal:ahşap
TST_9838e8d9158c20 | alabalık yemi | pro alabalık, somon  kaşığı - yapay alabalık, somon yemi - balık av kaşığı [suni yem] marka:megsaydin renk:siyah
TST_4d1ce78aae8c50 | bambu saklama kabı | 12'li cam saklama kabı 1300ml vakumlu bambu kapaklı [saklama kabı] marka:bambum renk:beyaz materyal:ahşap
TST_23ec4349765cc0 | papatyalı kırlent | no bad days punch kırlent yastık kılıfı siyah 42*42 cm [kırlent & kırlent kılıfı] marka:la vivi renk:siyah materyal:keten
TST_85cafa09069757 | cam folyo | 20cm araba arka cam hologram renk atatürk imzası imza renkli folyo etiket [arma sticker & fosfor şerit] marka:tsc renk:çok renkli
TST_90f5359fd7188c | orta ayaklık | 100 cup orta sehpa ( orta ayaklık ) [motosiklet yedek parçalar] marka:gms
TST_059aa5430d371d | bar taburesi | ofis büro döner tekerlekli amortisörlü arkalıklı sırtlı yüksek bar taburesi [çalışma sandalyesi] marka:ofiscombin renk:siyah materyal:plastik
TST_452b264737c9ef | nehir 6 kişilik çatal kaşık bıçak | 6 adet lüks sade çubuk model tatlı kaşığı (paslanmaz çelik) [çatal & bıçak & kaşık] marka:yüsra home renk:metalik materyal:çelik
TST_3966ea01bec635 | yüz havlusu | lera 4'lü 50x90 havlu seti el yüz havlusu %100 pamuk [havlu] marka:dnzgülcan renk:beyaz materyal:pamuk
TST_da8529789534a2 | type c bellek | matrix 32gb usb 2.0 metal usb flash bellek u632 [usb] marka:linktech renk:gümüş
TST_559e2e6ed6620f | black out karartma perde | bej blackout perde | güneş geçirmez pilesiz perde, işık geçirmeyen güneşlik - her odaya uy [fon perde] marka:perde pendik renk:krem materyal:saten
TST_0353c05edcd36e | bağ makası | alman wcx 2000 vf 4 adet akülü 2.7 metre teleskopik hediyeli akülü dal budama bağ makası [dal budama makinesi] marka:wacker
TST_de5ec7de3b0446 | kumandalı led avize | lucent modern altı halkalı plafonyer avize [avize] marka:lucent avize renk:metalik materyal:alüminyum
TST_446cc329587afc | şarj kafası | xiaomi mi 11 67 watt orjinal turbo şarj cihazı redmi mi 6a type-c data kablo + myd-12-eh [şarj aleti] marka:day renk:beyaz
TST_3fce6188350463 | elart yatak örtüsü | modern line çift kişilik 3 parça battaniye seti [çift kişilik yatak örtüsü] marka:merinos renk:mor materyal:polyester
TST_7d01ae41b61ab7 | erkek fermuarlı | baskılı swetshirt. [sweatshirt] marka:blackbonds unisex renk:pembe materyal:pamuk
TST_500d4ee823cd68 | yüksek bel palazzo pantolon | sigaret saten pantolon normal bel beli lastikli düz paça basic düz j8743az24wn [pantolon] marka:defacto kadın renk:bej materyal:pamuk - polyester - elastan
TST_3505627a551f5f | xuping kolye | nazar boncuklu italyan zincirli taşlı çelik kolye [çelik kolye] marka:kmod life kadın renk:altın materyal:paslanmaz çelik
TST_26673f68c39c31 | vintage kazak | lacivert slim fit pamuk karışımlı fermuarlı polo yaka triko kazak 50318948-vr033 [kazak] marka:cacharel erkek renk:lacivert materyal:akrilik
TST_64d5afa6432bd7 | tudors yelek | onlnewclaire quilted waistcoat otw [yelek] marka:only kadın renk:beyaz materyal:dokuma
TST_44c73ffe29f61a | pembe fon perde | 1 kanat hello kitty çocuk bebek odası perdesi fon perde [kırlent & kırlent kılıfı] marka:cici odam renk:pembe materyal:polyester
TST_482543bffe3e4a | temizlik | lamonica 4 mop bezli temiz ve kirli suyu ayıran otomatik temizlik seti mop paspas koyu gri [paspas ve mop] marka:valletta renk:koyu gri
TST_bc0ea3c4c21c20 | nargile takımı | ruj model nargile takımı [nargile] marka:megahed
TST_f3901d45627444 | yün kadın hırka | anne hırkası glorya penye pamuk tunik boy [büyük beden hırka] marka:modagüven kadın renk:bej materyal:%100 pamuk
TST_259fafecf740cc | iphone 15 kamera koruyucu | apple iphone 15 plus cl-06 kamera lens koruyucu [kamera lens koruyucu] marka:zenithworks renk:sarı
TST_f582de9edfd984 | şarj kılıfı | apple ipad pro 11 1. nesil uyumlu kılıf kalem bölmeli trifolding case a1980 a2013 a1934 a1 [tablet kılıfı] marka:undeplus renk:pembe
TST_f58ee020eda59f | servis seti | marodisa blue 32 parça 6 kişilik porselen kahvaltı/servis [kahvaltı takımı] marka:karaca renk:beyaz materyal:porselen
TST_5f431be365bddf | bu da geçecek | motosiklet maske boyunluk – unisex, nefes alabilir, rüzgar geçirmez  bdk864 [motosiklet bandana] marka:bu da kaçar mı unisex
TST_6a1fd3783981c8 | kızıl saç boyası | excellence intense 6.66 yoğun kızıl saç boyası [saç boyası] marka:l'oreal paris unisex renk:yeşil
TST_85e253edd82577 | seyehat boy | açık gri seyahat yastığı boyun için kolay taşınabilir visko hafızalı %100 visco konforlu,  [şişme mat & yastık] marka:viscoshy renk:çok renkli
TST_cdd7efc3bcf789 | taşlı blazer ceket | desenli saten ceket - siyah [ceket] marka:sateen kadın renk:siyah materyal:saten
TST_e47528c3dd7c2c | içi kürklü süet bot | erkek kahve tonny black rahat kalıp detaylı hakiki deri erkek bot [bot & bootie] marka:tonny black erkek renk:kahverengi materyal:hakiki deri
